Date,ChosenTicker
2021-09-28,AAPL
2021-09-29,ABBV
2021-09-30,ABT
2021-10-01,ACN
2021-10-04,ADBE
2021-10-05,ADI
2021-10-06,ADP
2021-10-07,AIG
2021-10-08,ALL
2021-10-11,AMAT
2021-10-12,AMD
2021-10-13,AMGN
2021-10-14,AMT
2021-10-15,AMZN
2021-10-18,AON
2021-10-19,APD
2021-10-20,AVGO
2021-10-21,BAC
2021-10-22,BDX
2021-10-25,BKNG
2021-10-26,BLK
2021-10-27,BRK-B
2021-10-28,C
2021-10-29,CAT
2021-11-01,CB
2021-11-02,CI
2021-11-03,CL
2021-11-04,CME
2021-11-05,COST
2021-11-08,CRM
2021-11-09,CSCO
2021-11-10,CVX
2021-11-11,DE
2021-11-12,DHR
2021-11-15,DIS
2021-11-16,DUK
2021-11-17,EL
2021-11-18,EOG
2021-11-19,FDX
2021-11-22,EQIX
2021-11-23,GE
2021-11-24,FI
2021-11-26,GILD
2021-11-29,GM
2021-11-30,GOOGL
2021-12-01,HD
2021-12-02,GS
2021-12-03,HON
2021-12-06,HUM
2021-12-07,IBM
2021-12-08,INTC
2021-12-09,ICE
2021-12-10,ISRG
2021-12-13,INTU
2021-12-14,JNJ
2021-12-15,JPM
2021-12-16,KO
2021-12-17,LIN
2021-12-20,LMT
2021-12-21,LOW
2021-12-22,MA
2021-12-23,MCD
2021-12-27,MDT
2021-12-28,META
2021-12-29,MMC
2021-12-30,MO
2021-12-31,MRK
2022-01-03,MS
2022-01-04,MSFT
2022-01-05,MU
2022-01-06,NEE
2022-01-07,NFLX
2022-01-10,NOW
2022-01-11,NSC
2022-01-12,NVDA
2022-01-13,PEP
2022-01-14,PFE
2022-01-18,PG
2022-01-19,PGR
2022-01-20,PLD
2022-01-21,PM
2022-01-24,PNC
2022-01-25,QCOM
2022-01-26,RTX
2022-01-27,SHW
2022-01-28,SPGI
2022-01-31,REGN
2022-02-01,TMO
2022-02-02,SBUX
2022-02-03,SYK
2022-02-04,USB
2022-02-07,SO
2022-02-08,WFC
2022-02-09,WMT
2022-02-10,VZ
2022-02-11,AMZN
2022-02-14,T
2022-02-15,SPGI
2022-02-16,TXN
2022-02-17,FI
2022-02-18,HUM
2022-02-22,VRTX
2022-02-23,QCOM
2022-02-24,GOOGL
2022-02-25,WFC
2022-02-28,NEE
2022-03-01,TMO
2022-03-02,TGT
2022-03-03,MU
2022-03-04,XOM
2022-03-07,LMT
2022-03-08,XOM
2022-03-09,MA
2022-03-10,AAPL
2022-03-11,MSFT
2022-03-14,CVX
2022-03-15,SHW
2022-03-16,INTC
2022-03-17,ADBE
2022-03-18,PNC
2022-03-21,ACN
2022-03-22,UNH
2022-03-23,DUK
2022-03-24,CB
2022-03-25,RTX
2022-03-28,MDT
2022-03-29,UNP
2022-03-30,ABBV
2022-03-31,REGN
2022-04-01,ISRG
2022-04-04,V
2022-04-05,EL
2022-04-06,ABT
2022-04-07,ZTS
2022-04-08,JNJ
2022-04-11,SYK
2022-04-12,BRK-B
2022-04-13,GS
2022-04-14,GE
2022-04-18,PFE
2022-04-19,KO
2022-04-20,NOW
2022-04-21,DE
2022-04-22,ZTS
2022-04-25,USB
2022-04-26,TGT
2022-04-27,AMGN
2022-04-28,NFLX
2022-04-29,FDX
2022-05-02,CRM
2022-05-03,BKNG
2022-05-04,DIS
2022-05-05,JPM
2022-05-06,PGR
2022-05-09,BLK
2022-05-10,MS
2022-05-11,APD
2022-05-12,LIN
2022-05-13,CI
2022-05-16,C
2022-05-17,NVDA
2022-05-18,MRK
2022-05-19,AON
2022-05-20,BAC
2022-05-23,LOW
2022-05-24,PG
2022-05-25,GM
2022-05-26,ADP
2022-05-27,MCD
2022-05-31,AMT
2022-06-01,HD
2022-06-02,SBUX
2022-06-03,ALL
2022-06-06,PLD
2022-06-07,BDX
2022-06-08,CSCO
2022-06-09,WMT
2022-06-10,PM
2022-06-13,PEP
2022-06-14,GILD
2022-06-15,MMC
2022-06-16,COST
2022-06-17,MU
2022-06-21,SO
2022-06-22,MA
2022-06-23,HON
2022-06-24,NVDA
2022-06-27,WFC
2022-06-28,FDX
2022-06-29,CAT
2022-06-30,CVX
2022-07-01,META
2022-07-05,QCOM
2022-07-06,SPGI
